date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:48	14517/14517	---M--	200	added ('OK')	image/jpeg	etag:%2238b5-5e4a9304-597c1503264afacb;;;%22	http://railwayjobonline.in/images/customer5.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/customer5.jpg	(from http://railwayjobonline.in/index.html)
14:29:48	82243/82243	---M--	200	added ('OK')	image/jpeg	etag:%2214143-5e4a9304-681e11448f117ae8;;;%22	http://railwayjobonline.in/images/airport/air10.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/airport/air10.jpg	(from http://railwayjobonline.in/job-place.html)
14:29:48	14517/14517	---M--	200	added ('OK')	image/jpeg	etag:%2238b5-5e4a9304-a2ef73aff0bdde20;;;%22	http://railwayjobonline.in/images/customer8.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/customer8.jpg	(from http://railwayjobonline.in/index.html)
14:29:50	747/747	---M--	200	added ('OK')	text/css	etag:%222eb-5e4a9304-ba57db9a6921d5fc;gz%22	http://railwayjobonline.in/css/include/footer.css	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/css/include/footer.css	(from http://railwayjobonline.in/css/style.css)
14:29:50	5555/5555	---M-Z	200	added ('OK')	text/css	etag:%2215b3-5e4a9304-33f59491fff39734;gz%22	http://railwayjobonline.in/css/slider.css	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/css/slider.css	(from http://railwayjobonline.in/index.html)
14:30:01	68017/68017	---M--	200	added ('OK')	image/jpeg	etag:%22109b1-5e4a9304-2d4910911d87fd7f;;;%22	http://railwayjobonline.in/images/airport/air2.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/airport/air2.jpg	(from http://railwayjobonline.in/job-place.html)
14:30:02	83498/83498	---M--	200	added ('OK')	image/jpeg	etag:%221462a-5e4a9304-51c53d2617f0b23b;;;%22	http://railwayjobonline.in/images/about1.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/about1.jpg	(from http://railwayjobonline.in/about-us.html)
14:30:04	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11e181-b1d6c303894026ad;gz%22	http://railwayjobonline.in/images/contact-us2.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/contact-us2.jpg	(from http://railwayjobonline.in/contact-us.html)
14:30:05	96695/96695	---M--	200	added ('OK')	image/jpeg	etag:%22179b7-5e4a9304-dfa674cbd8fdcab4;;;%22	http://railwayjobonline.in/images/airline.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/airline.jpg	(from http://railwayjobonline.in/job-place.html)
14:30:06	14517/14517	---M--	200	added ('OK')	image/jpeg	etag:%2238b5-5e4a9304-712a57248d966cb1;;;%22	http://railwayjobonline.in/images/customer4.jpg	C:/My%20Web%20Sites/railwayonline/railwayjobonline.in/images/customer4.jpg	(from http://railwayjobonline.in/index.html)
